PMID,Attribute Name,Mannual Annotation,Chatgpt Annotation
31940011,Age ,1,
31940011,Psychoeducation ,1,
31940011,Bipolar Disorder I (BD I) ,1,
31940011,Bipolar Disorder II (BD II) ,1,
31940011,Hypomania ,1,
31940011,Communication Skills Training ,1,
31940011,Problem Solving Skills Training ,1,
31940011,Pharmacotherapy ,1,
31940011,Family Focused Therapy (FFT) ,1,
31940011,Symptom ,1,
31940011,Psychosocial Treatment ,1,
31940011,Therapist Competence ,1,
31940011,Adherence Scales ,1,
31940011,Psychiatric Status ,1,
31940011,Mania ,1,
31940011,Depression ,1,
31940011,Comorbid Diagnosis ,1,
31940011,Female ,1,
31940011,Protocol Therapy Sessions ,1,
31940011,Antidepressant ,1,
31940011,Anxiolytic ,1,
31940011,Psychostimulant ,1,
31940011,Female ,1,
31940011,Second Generation Antipsychotic ,1,
31940011,Lithium ,1,
31940011,Any Antidepressant (AD) ,1,
31940011,Benzodiazepine ,1,
31940011,Stimulant ,1,
31940011,AntiAnxiety Medication ,1,
31940011,Race ,1,
29044718,Age ,1,
29044718,Gender ,1,
29044718,Pediatric Bipolar Disorder (PBD) ,1,
29044718,Bipolar Disorder Type 2 ,1,
29044718,Psychiatric Comorbidity ,1,
29044718,Treatment ,1,
29044718,Medications ,1,
29044718,Family History ,1,
29044718,Mortality Status ,1,
29044718,Index Episode (Mixed) ,1,
29044718,Primary Diagnosis ,1,
29044718,Psychosocial Precipitants ,1,
29044718,Suicidal Ideation ,1,
29044718,Diagnostic Assessment ,1,
30047784,Comorbid Psychiatric Conditions,1,
30047784,Substance Use Disorders (SUD),1,
30047784,Alcohol Use Disorders (AUD),1,
30047784,Psychotherapy,1,
30047784,Manic Episodes,1,
30047784,Depressive Episodes,1,
30047784,Hypomanic Symptoms,1,
30047784,Antidepressant Medication,1,
30047784,Social Rhythm Therapy,1,
30047784,Cognitive-Behavioral Therapy,1,
30047784,Age 18 or Older,1,
30047784,DSM-IV Criteria,1,
30047784,Depression Severity,1,
30047784,Mania Severity,1,
30047784,Gender,1,
30047784,Marital Status,1,
30047784,Benzodiazepines,1,
30047784,Anticonvulsants,1,
30047784,Lithium,1,
30047784,Valproate,1,
30047784,Stimulants,1,
30047784,Atypical Antipsychotics,1,
30047784,Other Mood Stabilizers,1,
30047784,BD Type 1,1,
30047784,BD Type 2,1,
30047784,Drug Use Disorder,1,
30047784,Mood Disorder,1,
35985201,Race,1,
35985201,Female,1,
35985201,First Generation Antipsychotic,1,
35985201,Second Generation Antipsychotic,1,
35985201,Any Mood Stabilizer (MS),1,
35985201,Lithium,1,
35985201,Divalproex/Carbamazepine,1,
35985201,Lamotrigine,1,
35985201,Any Antidepressant (AD),1,
35985201,Selective Serotonin Reuptake Inhibitors (SSRI),1,
35985201,Selective Norepinephrine Reuptake Inhibitors (SNRI),1,
35985201,Tricyclic Antidepressants (TCA),1,
35985201,Other Antidepressants,1,
35985201,Antidepressant (AD) Monotherapy,1,
35985201,Benzodiazepine,1,
35985201,Stimulant,1,
35985201,Prazosin,1,
35985201,Sleep Medication,1,
35985201,Anti-Anxiety Medication,1,
35985201,Post-Traumatic Stress Disorder,1,
37923395,Bipolar Disorder,1,
37923395,Posttraumatic Stress Disorder (PTSD),1,
37923395,Irritable Mood,1,
37923395,Manic Symptoms,1,
37923395,Prior Mania / Hypomania,1,
37923395,Mood Episode,1,
37923395,Systematic Treatment Enhancement Program for Bipolar Disorder (STEP-BD),1,
9513752,Age,1,
9513752,Female,1,
9513752,Male,1,
9513752,BD Type 2,1,
9513752,BD Type 1,1,
9513752,Family History,1,
9513752,Population,1,
9513752,Generalized Anxiety Disorders,1,
9513752,Obsessions,1,
9513752,Anxiety Disorders,1,
9513752,Psychoactive Substance Use Disorders,1,
9513752,Phobic Disorders,1,
9513752,Kleptomania,1,
9513752,Trichotillomania,1,
9513752,Pyromania,1,
9513752,ICD NOS (Self-injurious behavior),1,
9513752,Mental Retardation,1,
9513752,Duration Cycling,1,
9513752,Diagnostic Assessment,1,
15212611,Olanzapine,1,
15212611,Bipolar Disorder,1,
15212611,Acute Mania,1,
15212611,Prevention of Relapse,1,
15212611,Safety and Tolerability,1,
15212611,Rapid Cycling and Treatment-Resistant Patients,1,
15212611,Clinical Efficacy,1,
15212611,Pharmacodynamics and Pharmacokinetics,1,
15212611,Schizophrenia,1,
15212611,Manic Episodes,1,
15212611,Lithium,1,
15212611,Valproate Monotherapy,1,
15212611,Fluoxetine,1,
29389150,Male,1,
29389150,Female,1,
29389150,Family-Focused Therapy (FFT),1,
29389150,Constructive Family Communication,1,
29389150,Communication Training for CHR Psychosis,1,
29389150,Age,1,
29389150,Bipolar Disorder I,1,
29389150,Bipolar Disorder II,1,
29389150,Stress,1,
29389150,Genetic Risk,1,
29389150,Neurobiological Vulnerability,1,
29389150,Mood Stabilizers,1,
29389150,Patient History,1,
12656935,Age,1,
12656935,Gender,1,
12656935,Atypical Antipsychotics,1,
12656935,Antidepressants,1,
12656935,Treatment,1,
12656935,Medications,1,
12656935,Lithium,1,
12656935,Dehydroepiandrosterone-sulfate (DHEAS),1,
12656935,Polycystic Ovarian Syndrome,1,
12656935,Mood Stabilizer,1,
12656935,Valproate-Treated Females,1,
12656935,Population,1,
12656935,Diagnosis,1,
12656935,Patient History,1,
12656935,Benzodiazepines,1,
12656935,Bipolar Disorder,1,
12656935,Sexual Dysfunction,1,
37474761,Gender,1,
37474761,Female,1,
37474761,Lithium,1,
37474761,Benzodiazepine,1,
37474761,Stimulant,1,
37474761,Race,1,
37474761,Alcohol Use Disorder,1,
37474761,Cannabis Use Disorder,1,
37474761,Substance Use,1,
37474761,Mood Symptoms,1,
37474761,Impulsivity (Barratt Impulsiveness Scale),1,
37474761,Subjective Response to Alcohol,1,
34118638,bipolar disorder I/II ,1,
34118638,predominant polarity,1,
34118638,manic/hypomanic episodes,1,
34118638,mood episodes,1,
34118638,dipressive episodes,1,
34118638,psychiatric disorders,1,
34118638,neuro imaging,1,
34118638,biomarkers,1,
34118638,psycho therapy,1,
34118638,psychoeducation,1,
34118638,psychosocial treatments,1,
34118638,maintainance therapy,1,
34118638,lithium,1,
34118638,quetiapine,1,
34118638,axis-II disorder,1,
34118638,anti psychotics,1,
34118638,anxiety comorbidity,1,
34118638,anti depressants,1,
34118638,psychotropic agents,1,
34118638,antimanic agents,1,
34118638,male,1,
34118638,female,1,
34118638,DSM IV,1,
34118638,married,1,
34118638,suicide attempts,1,
34118638,SUD,1,
34118638,Child Abuse,1,
31735057,Age,1,
31735057,Female,1,
31735057,Bipolar I,1,
31735057,Bipolar II,1,
31735057,Mania,1,
31735057,Depression,1,
31735057,Hypomania,1,
31735057,Comorbid Anxiety,1,
31735057,Mixed Mood,1,
31735057,Previous Hospitalization,1,
31735057,Antidepressant,1,
31735057,Antipsychotic,1,
31735057,Lithium,1,
31735057,Sodium Valporate,1,
33753882,Age,1,
33753882,Male,1,
33753882,Bipolar Disorder Type 1,1,
33753882,Family History,1,
33753882,Manic episodes,1,
33753882,Quetiapine,1,
33753882,Lithium,1,
33753882,Mood stabilizers,1,
33753882,claustrophobia,1,
33753882,Kullback–Leibler divergence-based similarity (KLS),1,
3312180,Male/female ,1,
3312180,Bipolar disorder type,1,
3312180,Bipolar disorder type 2 ,1,
3312180,Treatment ,1,
3312180,Medications ,1,
3312180,Psychiatric comorbidity ,1,
3312180,psychosocial precipitants ,1,
3312180,sexual dysfunction ,1,
3312180,Mortality status ,1,
3312180,Duration cycling ,1,
3312180,Age ,1,
3312180,Suicidal ideation ,1,
35561011,Bipolar I Disorder,1,
35561011,Bipolar II Disorder,1,
35561011,Antidepressant Use,1,
35561011,Antipsychotic Use,1,
35561011,Lamotrigine Use,1,
35561011,Comorbid Anxiety Disorder,1,
35561011,Comorbid Substance Use Disorder,1,
35561011,Suicidal Ideation,1,
35561011,Complex Polypharmacy,1,
35561011,High Household Income,1,
35561011,Education Level,1,
35561011,Benzodiazepine Use,1,
35561011,Number of Psychotropic Medications,1,
35561011,Benzodiazepine Nonuse,1,
35561011,Hospitalizations,1,
35561011,Bipolar Inventory of Symptoms Scale (BISS) Scores,1,
35561011,Anxiety Symptoms,1,
35561011,Depressive Symptoms,1,
33797828,bipolar disorder I/II ,1,
33797828,acute mania,1,
33797828,lithium,1,
33797828,prophylactic lithium therapy,1,
33797828,prophylactic effects,1,
33797828,psychosocial,1,
33797828,bi-phasic episodes,1,
33797828,depression mania,1,
33797828,neurotic personality trait,1,
33797828,lithium monotherapy,1,
33797828,benzodiadephine,1,
33797828,DSM-IV criteria,1,
33797828,renal impairment,1,
33797828,thyroid,1,
33797828,pregnant,1,
33797828,prophylaxis,1,
33797828,anxiety,1,
33797828,age,1,
33797828,hallucinations,1,
33797828,hospitalisations,1,
33797828,abuse,1,
33797828,martial status,1,
33797828,whites,1,
33797828,blacks,1,
33797828,asians,1,
16449487,Age,1,
16449487,Bipolar I,1,
16449487,Bipolar II,1,
16449487,Mania,1,
16449487,Depression,1,
16449487,Hypomania,1,
16449487,Lithium,1,
16449487,Sodium Valporate,1,
16449487,Carbamazepine,1,
16449487,Mood Stabilizers,1,
16449487,Antipsychotic,1,
16449487,Benzodiazepines,1,
16449487,Bupropion,1,
16449487,Sertraline,1,
16449487,Venlafaxine,1,
25346391,Age,1,
25346391,Male,1,
25346391,Female,1,
